"timestamp","platform","order_level","order_type","price","volume"
"2025-08-07 14:04:36.197","Binance",4,"Ask",116304.02,0.0001
"2025-08-07 14:04:36.197","Binance",3,"Ask",116304.01,2.58214
"2025-08-07 14:04:36.197","Binance",2,"Ask",116304,0.32674
"2025-08-07 14:04:36.197","Binance",1,"Ask",116302.82,15.29307
"2025-08-07 14:04:36.197","Binance",10,"Bid",116423.43,0.00015
"2025-08-07 14:04:36.197","Binance",9,"Bid",116423.44,0.00007
"2025-08-07 14:04:36.197","Binance",8,"Bid",116423.72,0.00005
"2025-08-07 14:04:36.197","Binance",7,"Bid",116423.73,0.00005
"2025-08-07 14:04:36.197","Binance",6,"Bid",116423.84,0.0001
"2025-08-07 14:04:36.197","Binance",5,"Bid",116424,0.0319
"2025-08-07 14:04:36.197","Binance",4,"Bid",116424.01,0.0001
"2025-08-07 14:04:36.197","Binance",3,"Bid",116424.7,0.00005
"2025-08-07 14:04:36.197","Binance",2,"Bid",116424.71,0.32291
"2025-08-07 14:04:36.197","Binance",1,"Bid",116424.72,8.95446
"2025-08-07 14:04:22.065","Binance",10,"Ask",116308.97,0.04314
"2025-08-07 14:04:22.065","Binance",9,"Ask",116308,0.0319
"2025-08-07 14:04:22.065","Binance",8,"Ask",116307.99,0.29036
"2025-08-07 14:04:22.065","Binance",7,"Ask",116307.98,0.0001
"2025-08-07 14:04:22.065","Binance",6,"Ask",116307.47,0.28395
"2025-08-07 14:04:22.065","Binance",5,"Ask",116307.46,1.22732
"2025-08-07 14:04:22.065","Binance",4,"Ask",116307.45,0.00015
"2025-08-07 14:04:22.065","Binance",3,"Ask",116306,0.03195
"2025-08-07 14:04:22.065","Binance",2,"Ask",116305.99,0.0001
"2025-08-07 14:04:22.065","Binance",1,"Ask",116305.17,14.93735
"2025-08-07 14:04:22.065","Binance",10,"Bid",116423.43,0.00015
"2025-08-07 14:04:22.065","Binance",9,"Bid",116423.44,0.00007
"2025-08-07 14:04:22.065","Binance",8,"Bid",116423.72,0.00005
"2025-08-07 14:04:22.065","Binance",7,"Bid",116423.73,0.00005
"2025-08-07 14:04:22.065","Binance",6,"Bid",116423.84,0.0001
"2025-08-07 14:04:22.065","Binance",5,"Bid",116424,0.0319
"2025-08-07 14:04:22.065","Binance",4,"Bid",116424.01,0.0001
"2025-08-07 14:04:22.065","Binance",3,"Bid",116424.7,0.00005
"2025-08-07 14:04:22.065","Binance",2,"Bid",116424.71,0.32291
"2025-08-07 14:04:22.065","Binance",1,"Bid",116424.72,8.95446
"2025-08-07 14:04:21.061","Binance",10,"Ask",116312.41,0.00005
"2025-08-07 14:04:21.061","Binance",9,"Ask",116312.4,2.69922
"2025-08-07 14:04:21.061","Binance",8,"Ask",116312.39,1.75877
"2025-08-07 14:04:21.061","Binance",7,"Ask",116312.38,1.25536
"2025-08-07 14:04:21.061","Binance",6,"Ask",116312.37,0.00005
"2025-08-07 14:04:21.061","Binance",5,"Ask",116312.31,0.00025
"2025-08-07 14:04:21.061","Binance",4,"Ask",116312.3,0.04369
"2025-08-07 14:04:21.061","Binance",3,"Ask",116312.29,3.58099
"2025-08-07 14:04:21.061","Binance",2,"Ask",116312.24,0.0001
"2025-08-07 14:04:21.061","Binance",1,"Ask",116312.21,13.9883
"2025-08-07 14:04:21.061","Binance",10,"Bid",116423.43,0.00015
"2025-08-07 14:04:21.061","Binance",9,"Bid",116423.44,0.00007
"2025-08-07 14:04:21.061","Binance",8,"Bid",116423.72,0.00005
"2025-08-07 14:04:21.061","Binance",7,"Bid",116423.73,0.00005
"2025-08-07 14:04:21.061","Binance",6,"Bid",116423.84,0.0001
"2025-08-07 14:04:21.061","Binance",5,"Bid",116424,0.0319
"2025-08-07 14:04:21.061","Binance",4,"Bid",116424.01,0.0001
"2025-08-07 14:04:21.061","Binance",3,"Bid",116424.7,0.00005
"2025-08-07 14:04:21.061","Binance",2,"Bid",116424.71,0.32291
"2025-08-07 14:04:21.061","Binance",1,"Bid",116424.72,8.95446
"2025-08-07 14:02:55.059","Binance",10,"Ask",116314.11,0.0001
"2025-08-07 14:02:55.059","Binance",9,"Ask",116314.01,0.07861
"2025-08-07 14:02:55.059","Binance",8,"Ask",116314,0.03208
"2025-08-07 14:02:55.059","Binance",7,"Ask",116313.99,0.0001
"2025-08-07 14:02:55.059","Binance",6,"Ask",116312.7,0.00005
"2025-08-07 14:02:55.059","Binance",5,"Ask",116312.69,0.22441
"2025-08-07 14:02:55.059","Binance",4,"Ask",116312.68,0.00028
"2025-08-07 14:02:55.059","Binance",3,"Ask",116312.54,0.0132
"2025-08-07 14:02:55.059","Binance",2,"Ask",116312.3,0.04324
"2025-08-07 14:02:55.059","Binance",1,"Ask",116312.29,11.57643
"2025-08-07 14:02:55.059","Binance",10,"Bid",116423.43,0.00015
"2025-08-07 14:02:55.059","Binance",9,"Bid",116423.44,0.00007
"2025-08-07 14:02:55.059","Binance",8,"Bid",116423.72,0.00005
"2025-08-07 14:02:55.059","Binance",7,"Bid",116423.73,0.00005
"2025-08-07 14:02:55.059","Binance",6,"Bid",116423.84,0.0001
